date,focus,case_file,note_file
2025-05-29,"Disbursement flow integration with async statuses",tests/nonprod/ngo_portal/cases/2025-05-29.json,docs/nonprod/ngo_portal/daily/2025-05-29.md
2025-05-30,"Frontend tests for campaign and wallet flows",tests/nonprod/ngo_portal/cases/2025-05-30.json,docs/nonprod/ngo_portal/daily/2025-05-30.md
2025-05-31,"UI fixes/refactor/perf cleanup",tests/nonprod/ngo_portal/cases/2025-05-31.json,docs/nonprod/ngo_portal/daily/2025-05-31.md
2025-06-01,"NGO docs/config/changelog updates",tests/nonprod/ngo_portal/cases/2025-06-01.json,docs/nonprod/ngo_portal/daily/2025-06-01.md
2025-06-02,"NGO campaign UI flow connected to API",tests/nonprod/ngo_portal/cases/2025-06-02.json,docs/nonprod/ngo_portal/daily/2025-06-02.md
2025-06-03,"Onboarding/auth forms with validation + error states",tests/nonprod/ngo_portal/cases/2025-06-03.json,docs/nonprod/ngo_portal/daily/2025-06-03.md
2025-06-04,"Dashboard/reporting data mapping and filtering",tests/nonprod/ngo_portal/cases/2025-06-04.json,docs/nonprod/ngo_portal/daily/2025-06-04.md
2025-06-05,"Disbursement flow integration with async statuses",tests/nonprod/ngo_portal/cases/2025-06-05.json,docs/nonprod/ngo_portal/daily/2025-06-05.md
2025-06-06,"Frontend tests for campaign and wallet flows",tests/nonprod/ngo_portal/cases/2025-06-06.json,docs/nonprod/ngo_portal/daily/2025-06-06.md
2025-06-07,"UI fixes/refactor/perf cleanup",tests/nonprod/ngo_portal/cases/2025-06-07.json,docs/nonprod/ngo_portal/daily/2025-06-07.md
2025-06-08,"NGO docs/config/changelog updates",tests/nonprod/ngo_portal/cases/2025-06-08.json,docs/nonprod/ngo_portal/daily/2025-06-08.md
2025-06-09,"NGO campaign UI flow connected to API",tests/nonprod/ngo_portal/cases/2025-06-09.json,docs/nonprod/ngo_portal/daily/2025-06-09.md
2025-06-10,"Onboarding/auth forms with validation + error states",tests/nonprod/ngo_portal/cases/2025-06-10.json,docs/nonprod/ngo_portal/daily/2025-06-10.md
2025-06-11,"Dashboard/reporting data mapping and filtering",tests/nonprod/ngo_portal/cases/2025-06-11.json,docs/nonprod/ngo_portal/daily/2025-06-11.md
2025-06-12,"Disbursement flow integration with async statuses",tests/nonprod/ngo_portal/cases/2025-06-12.json,docs/nonprod/ngo_portal/daily/2025-06-12.md
2025-06-13,"Frontend tests for campaign and wallet flows",tests/nonprod/ngo_portal/cases/2025-06-13.json,docs/nonprod/ngo_portal/daily/2025-06-13.md
2025-06-14,"UI fixes/refactor/perf cleanup",tests/nonprod/ngo_portal/cases/2025-06-14.json,docs/nonprod/ngo_portal/daily/2025-06-14.md
2025-06-15,"NGO docs/config/changelog updates",tests/nonprod/ngo_portal/cases/2025-06-15.json,docs/nonprod/ngo_portal/daily/2025-06-15.md
2025-06-16,"NGO campaign UI flow connected to API",tests/nonprod/ngo_portal/cases/2025-06-16.json,docs/nonprod/ngo_portal/daily/2025-06-16.md
2025-06-17,"Onboarding/auth forms with validation + error states",tests/nonprod/ngo_portal/cases/2025-06-17.json,docs/nonprod/ngo_portal/daily/2025-06-17.md
